609102244.636462, 82
609102467.622245, 69
609102697.584714, 67
609103186.838505, 79
609103531.332022, 82
609104278.443996, 68
609104849.669074, 73
609104906.254069, 78
609105142.384887, 71
609105579.054888, 190
609105721.664598, 190
609105867.715091, 190
609106029.791864, 190
609106185.28449, 190
609106339.85972, 190
609106488.172787, 190
609129319.090515, 65
609129451.392914, 71
609129596.472212, 65
609130161.693696, 73
609130218.60068, 78
609131110.842495, 16
609131204.215826, 49
609131384.461456, 49
609131535.525248, 49
