1333710792.314719, 78
1333710836.05842, 73
1333710888.831012, 67
1333710953.848333, 69
1333740997.953677, 89
1333741126.285156, 65
1333741222.075984, 83
1333741378.351911, 83
1333741580.204639, 83
1333748368.464183, 16
1333748424.010755, 219
1333749509.005232, 8
1334715161.274216, 65
1334715255.835536, 78
1334715303.89584, 79
1334715389.903284, 84
1334715514.774881, 72
1334715591.811745, 69
1334715667.298204, 82
1334715715.611161, 32
1334715867.493223, 79
1334716007.234535, 78
1334716094.806366, 69
1334716236.236457, 16
1334716304.160742, 49
1334722318.501747, 65
1334722369.60491, 78
1334722431.519702, 79
1334722543.268735, 84
1334722643.443086, 72
1334722730.599658, 69
1334722814.716082, 82
1334722820.565523, 32
1334722918.667118, 79
1334722998.372918, 78
1334723066.432522, 69
1334723594.340817, 190
1334723747.586004, 190
1334723898.718174, 190
1334724001.92609, 32
1334724059.835304, 65
1334724169.725103, 78
1334724223.312377, 79
1334724338.963418, 84
1334724421.573962, 72
1334724533.457037, 69
1334724600.90072, 82
1334724651.053697, 32
1334724749.632162, 79
1334724817.681635, 78
1334724871.665608, 69
1334725033.498242, 190
1334725191.935655, 190
1334725353.154028, 190
1335552809.365183, 65
1335552864.149209, 82
1335552912.659105, 69
1335553014.788495, 32
1335553045.076326, 89
1335553122.488822, 79
1335553229.451018, 85
1335553276.110138, 32
1335553300.054053, 82
1335553419.834848, 79
1335553495.032562, 87
1335553601.015264, 75
1335553653.754095, 82
1335553765.428849, 73
1335553805.177179, 78
1335553895.628708, 71
1335554100.931467, 16
1335554185.812609, 191
1335560582.14415, 72
1335560799.996888, 77
1335560943.202901, 77
1335561132.557406, 16
1335561226.664385, 57
1335562434.46487, 16
1335562517.576287, 48
1335562697.746271, 32
1335562770.88983, 219
1335563252.985981, 13
