518512851.349898, 73
518512956.002934, 70
518513092.134794, 32
518513233.213264, 67
518513587.507689, 73
518513614.504219, 79
518513729.131528, 78
518514051.478658, 8
518514214.360433, 8
518514349.264781, 8
518514544.226063, 79
518514580.361525, 78
518514640.731994, 68
518514737.321258, 73
518522046.147665, 73
518522274.561944, 32
518522551.351507, 16
518522756.611169, 8
518522872.079457, 70
518522951.170637, 32
518522969.547965, 16
518523049.636602, 57
518523168.192541, 67
518523260.915878, 79
518523298.902584, 78
518523365.82604, 68
518523466.799766, 73
518523568.446877, 84
518523645.60885, 73
518523661.191487, 79
518523701.305602, 78
518523763.813615, 16
518523851.43597, 48
518602906.358243, 73
518603004.414457, 70
518603220.954079, 32
518603321.931768, 16
518603392.588237, 57
518604151.389048, 67
518604229.516145, 79
518604282.189397, 78
518607259.233735, 73
518607292.025517, 70
518607390.194196, 32
518607459.574402, 16
518607531.64199, 57
518607738.928307, 67
518607767.11182, 79
518607844.364203, 78
518607938.40641, 68
518608024.441431, 73
518608185.767032, 84
518608203.60565, 73
518608231.917539, 79
518608282.71672, 78
518608422.609949, 16
518608475.048151, 48
521584199.372252, 17
